Id	Foreign Key Insurance Company	Location	Pincode	Email Id
1	10	Pune	410241	support.pune@BCD Inc
2	1	Delhi	110001	support.delhi@LIC
3	7	Mumbai	400001	support.mumbai@STU Inc
4	11	Kolkata	700001	support.kolkata@EFG Ltd
5	5	Bangalore	560001	support.bangalore@GHI Inc
6	15	Chennai	600001	support.chennai@NOP Ltd
7	6	Hyderabad	500001	support.hyderabad@JKL Group
8	8	Pune	410241	support.pune@VWX Corp
9	16	Mysore	570001	support.mysore@QRS Corp
10	14	Chandigarh	160001	support.chandigarh@HIJ Corp
11	9	Kolkata	700001	support.kolkata@YZA Ltd
12	10	Delhi	110001	support.delhi@BCD Inc
13	17	Thane	400601	support.thane@WXY Ltd
14	4	Howrah	711101	support.howrah@DEF Ltd
15	2	Kanpur	208001	support.kanpur@XYZ Inc
16	1	Ahmedabad	380001	support.ahmedabad@LIC
17	20	Secunderabad	500003	support.secunderabad@ZAB Group
18	14	Coimbatore	641001	support.coimbatore@HIJ Corp
19	8	Nashik	401521	support.nashik@VWX Corp
20	5	Ahmedabad	380001	support.ahmedabad@GHI Inc
21	1	Pune	410241	support.pune@LIC
22	9	Delhi	110001	support.delhi@YZA Ltd
23	19	Mumbai	400001	support.mumbai@EFG Ltd
24	6	Kolkata	700001	support.kolkata@JKL Group
25	2	Bangalore	560001	support.bangalore@XYZ Inc
26	18	Chennai	600001	support.chennai@KLM Inc
27	12	Hyderabad	500001	support.hyderabad@PQR Ltd
28	4	Pune	410241	support.pune@DEF Ltd
29	7	Mysore	570001	support.mysore@STU Inc
30	19	Chandigarh	160001	support.chandigarh@EFG Ltd
31	16	Kolkata	700001	support.kolkata@QRS Corp
32	17	Delhi	110001	support.delhi@HIJ Corp
33	11	Thane	400601	support.thane@NOP Ltd
34	6	Howrah	711101	support.howrah@Hyderabad
35	7	Kanpur	208001	support.kanpur@GHI Inc
36	3	Ahmedabad	380001	support.ahmedabad@PQR Ltd
37	5	Secunderabad	500003	support.secunderabad@GHI Inc
38	18	Coimbatore	641001	support.coimbatore@KLM Inc
39	14	Nashik	401521	support.nashik@HIJ Corp
40	13	Ahmedabad	380001	support.ahmedabad@PQR Ltd
41	10	Pune	410241	support.pune@BCD Inc
42	2	Delhi	110001	support.delhi@LIC
